Name,ID,Weight,Description,Quote,Quality
Purity,5.100.407,1,"Boosts one of Isaac's stats depending on the color of the aura around him. The aura disappears upon taking damage and reappears with a random color upon entering a new room. Red boosts damage, blue boosts tears, yellow boosts speed, and orange boosts range.",Aura stat boost,3
Rune Bag,5.100.389,1,Spawns a familiar that drops a random rune after clearing enough rooms.,Rune generator,3
Scatter Bombs,5.100.366,1,+5   Bombs. Isaac's bombs explode into 2-4 tiny bombs.,We put bombs in your bombs!,1
Seraphim,5.100.390,1,Spawns an angel familiar who follows Isaac and fires homing tears which deal 10 damage and have 75% shot speed.,Sworn friend,3
Serpent's Kiss,5.100.393,1,Tears have a chance to apply a poison effect to enemies. Isaac poisons enemies on contact. Poisoned enemies have a chance to drop a   Black Heart when killed.,The kiss of death,2
Sticky Bombs,5.100.367,1,+5   Bombs. Bombs stick to enemies and spawn 2-4 Blue Spiders if they kill an enemy.  They also leave a long-lasting puddle of slowing white creep.,Egg sack bombs!,2
Tech X,5.100.395,1,Tears are replaced with laser rings that pierce through enemies and deal damage to enemies within them. Can be charged to increase the effectiveness of the ring.,Laser ring tears,4
Toxic Shock,5.100.350,1,"Upon entering a room, poisons all enemies, dealing double Isaac's tear damage. Killing enemies leaves a small, short-lasting pool of green creep on the ground.",Mass poison,3
Tractor Beam,5.100.397,1,"Isaac emits a beam from his face that his tears are bound to.  Increases Tears, Range, and Shot Speed.  Increases Fire Rate, Range, and Shot Speed.",Controlled tears,3
The Wiz,5.100.358,1,"Grants spectral tears. Tears simultaneously fire out of both eyes diagonally, similar to the effect of the R U a Wizard? pill.",Double wiz shot!,0
Zodiac,5.100.392,1,Gives Isaac a random zodiac item effect that changes every floor.,The heavens will change you,1
Holy Light,5.100.374,0.2,"Adds a chance to fire holy tears, which will create a damaging light beam in the area if they hit an enemy.",Holy death shot,3
Acid Baby,5.100.491,1,"Spawns a familiar that drops a random pill every 3 rooms. Upon using a pill, all enemies in the room are poisoned.",Pills pills pills!,2
Adrenaline,5.100.493,1,Increases damage based on how many empty Red Heart containers Isaac has.,Panic = power,2
Analog Stick,5.100.465,1,+0.35 tears up. Allows Isaac to fire tears diagonally.,360 tears!,2
Angry Fly,5.100.511,1,Spawns a fly familiar that orbits around a random enemy and deals 30 damage per second to enemies it comes in contact with.,He's violent,1
Apple!,5.100.443,1,+0.3 tears. Adds a chance to fire a razor blade that deals 4x Isaac's damage.,Trick or treat?,3
Backstabber,5.100.506,1,Isaac's tears deal double damage and inflict bleeding on enemies if they're facing away from Isaac.,Watch your back!,3
Big Chubby,5.100.473,1,"Spawns a familiar that follows Isaac and charges across the room when Isaac fires, blocking shots and dealing 40.5 damage per second on contact.",Chub chub,1
Bloodshot Eye,5.100.509,1,Spawns an orbital  familiar that deals 30 damage per second and fires a randomly angled tear every 2 seconds.,Bloody friend,1
Bozo,5.100.513,1,"+0.1 flat damage, grants a   Soul Heart. Enemies can randomly become briefly charmed or feared. Taking damage has a chance to spawn a   Rainbow Poop.",Party time!,2
Brittle Bones,5.100.549,1,"Replaces all  Red Heart Containers with 6 empty  Bone Hearts.  Upon losing a Bone Heart, Isaac fires bones in 8 directions and permanently gains a tears up.  Upon losing a Bone Heart, Isaac fires bones in 8 directions and permanently gains a fire rate up.",Everything hurts,3
Camo Undies,5.100.497,1,"Isaac becomes camouflaged at the beginning of each room. Until he shoots, all non-boss enemies will be confused.  Isaac gains +0.5 Speed while camouflaged, and gains Tears and Damage upon breaking it.",Camo kid,3
Compound Fracture,5.100.453,1,"Increases Range. Tears turn into bones, which shatter into 1-3 bone shards upon hitting an enemy or obstacle.",Bone tears!,3
Cone Head,5.100.457,1,Grants a   Soul Heart. Gives Isaac a chance to ignore any damage taken.,Hard headed!,2
Contagion,5.100.466,1,The first enemy killed in a room explodes and poisons nearby enemies. Poisoned enemies will also explode upon death.,Outbreak!,2
Dead Tooth,5.100.446,1,"While firing, Isaac gains a green aura that poisons nearby enemies.",Toxic breath,1
Depression,5.100.469,1,Spawns a familiar that leaves a trail of creep that damages enemies at 6 damage per second. Has a chance to spawn damaging beams of light onto enemies that touch the cloud.,:(,1
Dog Tooth,5.100.445,1,"+0.3 damage, +0.1 speed. Plays a howl or bark sound when entering a room with undiscovered  Secret Rooms or  Crawl Spaces.",Bark at the moon!,2
Euthanasia,5.100.496,1,"Adds a chance to fire needles that instantly kill basic enemies and deal triple damage to bosses. If a needle kills an enemy, it bursts into more tears/needles.",Needle shot,3
Fast Bombs,5.100.517,1,"+7   Bombs. Removes the delay between bomb placements, allowing them to be placed rapidly.  Bombs will no longer knock each other away.",Rapid bomb drops,1
Finger!,5.100.467,1,"Spawns a finger familiar that points at enemies, dealing scaling damage.",Watch where you point that!,1
Flat Stone,5.100.540,1,"Tears bounce off the floor, creating splashes. Splashes deal 25% of Isaac's tear damage to all enemies in a small area.",Skipping tears,2
Ghost Pepper,5.100.495,1,Gives a chance to shoot fires alongside tears that block enemy shots and deal damage to enemies that touch them.Gives a chance to shoot blue fires alongside tears that become smaller as they travel.,Flame tears,3
Glaucoma,5.100.460,1,Adds a chance to shoot tears that confuse enemies for an extremely long time.,Blind tears!,1
Haemolacria,5.100.531,1,"Tears are now fired in an arc. Upon hitting the floor, an obstacle, or an enemy, they burst into many smaller tears in all directions. Increases tear delay.",I'm seeing red...,4
Hallowed Ground,5.100.543,1,"Spawns a white poop familiar, which turns into a   White Poop when Isaac is hurt. White poop has an aura that increases tear fire rate and can block enemy shots.  The aura also increases damage by 20% and gives homing.",Portable sanctuary,1
Hushy,5.100.470,1,"Spawns a   Hush familiar that bounces diagonally around the room and deals contact damage. While firing tears, it stops moving.",Lil hush!,0
Jacob's Ladder,5.100.494,1,Tears fire sparks of electricity in random directions upon hitting an obstacle or enemy.,Electric tears,3
Jaw Bone,5.100.548,1,"Spawns a familiar that flies through the room while firing, dealing a flat 7 contact damage to enemies and retrieving pickups.",Fetch!,1
Lachryphagy,5.100.532,1,"Isaac's tears decelerate as they travel. Upon stopping or hitting an obstacle, they burst into 8 tears in all directions. Tears can be fired into other tears to feed them, increasing their damage.",Feed them!,2
Large Zit,5.100.502,1,Adds a chance to fire a creep shot that deals double damage and leaves a trail of slowing white creep.,Creep shots,1
Lead Pencil,5.100.444,1,"After every 15 tears fired, Isaac will fire a high-damage cluster of tears.",He's a bleeder!,3
Leprosy,5.100.525,1,"Upon taking damage, grants a body part as an orbital, which blocks enemy shots and deals 7 damage per tick to enemies it comes in contact with. The orbitals will be destroyed if they take enough damage from enemies or enemy shots.",You're tearing me apart!,1
Lil Monstro,5.100.471,1,Spawns a familiar that fires clusters of tears. Must be charged before shooting.,Ain't he cute?,2
Lil Spewer,5.100.537,1,"Drops a random pill, and spawns a familiar that charges up and fires creep. Using pills changes the creep type.",Puking buddy,1
Linger Bean,5.100.447,1,Constantly shooting causes Isaac to release gas clouds that can be pushed by his tears and damage nearby enemies.,Crying makes me toot,0
Metal Plate,5.100.449,1,Grants one   Soul Heart. Enemy shots have a chance to be reflected at the shooter as confusing tears.,It itches...,1
Mom's Razor,5.100.508,1,"Spawns an orbiting razor that deals contact damage and inflicts bleeding on enemies, causing them to slowly take damage over time.",It's sharp!,2
Mystery Egg,5.100.539,1,"Spawns an egg familiar, which cracks into a random friendly monster when Isaac is hurt. The egg regenerates upon entering a different room.",Sacrificial insemination,1
Parasitoid,5.100.461,1,Adds a chance to fire an egg sack which creates slowing creep and spawns a Blue Fly or Blue Spider upon hitting an enemy.,Egg tears!,3
Pointy Rib,5.100.544,1,"Spawns a bone familiar that hovers back and forth in front of Isaac, dealing damage equal to Isaac's damage.",Stabbing time,2
Pop!,5.100.529,1,"Replaces Isaac's tears with eyeballs that can bounce off of each other. The eyeballs are not limited by range, and will instead dissipate when they stop moving or when hitting an enemy or obstacle.",Eyeball tears!,1
Shard of Glass,5.100.448,1,"Upon taking damage, Isaac has a chance to drop a full red heart, gain 5 range, and leave a trail of damaging red creep for the current room. Taking damage causes Isaac to bleed, spraying a volley of blood in the direction he fires. Bleeding will eventually damage him, but it can be stopped by picking up a   Red Heart.",Blood and guts!,1
Sinus Infection,5.100.459,1,Adds a chance to fire a booger that sticks to enemies and deals damage over time.,Booger tears!,3
Slipped Rib,5.100.542,1,Spawns a bone familiar that circles around Isaac and reflects enemy shots.,Projectile shield,2
Sulfuric Acid,5.100.463,1,+0.3 damage. Adds a chance to fire acidic tears which can destroy obstacles.,Acid tears!,2
Technology Zero,5.100.524,1,Connects Isaac's tears with electricity that can damage enemies.,Static tears!,3
Varicose Veins,5.100.452,1,Taking damage releases a ring of 10 high damage tears.,I'm leaking...,1
YO LISTEN!,5.100.492,1,"+1 luck. Spawns a fairy familiar that points out  Secret Rooms,  Crawl Space entrances, and tinted rocks.",Yo listen!,2
120 Volt,5.100.559,1,Repeatedly zaps enemies that are close to Isaac.,Zap!,2
Akeldama,5.100.641,1,"While in an uncleared room, Isaac forms a trail of bloody tears that drags behind him, bursting and dealing damage upon contact with enemies.",Spill your guts,2
Almond Milk,5.100.561,1,"Quadruples fire rate, with x0.3 damage multiplier. Tears are given random worm trinket effects.",DMG down + tears up + you feel nutty,1
Belly Button,5.100.458,1,Drops a random trinket. Grants a second trinket slot.,What's in there?,2
Belly Jelly,5.100.690,1,"Causes enemies to bounce off of Isaac, dealing damage to them if they hit an enemy or obstacle. Also gives Isaac the chance to deflect enemy shots.",Bounce away!,3
Bird Cage,5.100.610,1,"The first time Isaac takes damage in a room, a familiar leaps on an enemy, dealing damage and releasing a rock wave. For the rest of the room, it chases enemies similar to  Dead Bird.",Fat buddy,1
Bird's Eye,5.100.616,1,Gives a chance to shoot fires alongside tears that block enemy shots and deal damage to enemies that touch them.,It burns,3
Blood Bombs,5.100.614,1,Grants a Red Heart container and restores 5 hearts. Bombs leave behind damaging red creep. Isaac can place   Bombs at the cost of half a heart if he doesn't have any.,Bloody blast + HP up,2
Blood Puppy,5.100.565,1,"Spawns a familiar that chases enemies. After killing enough enemies, it becomes more powerful but will also try to hurt Isaac. Attacking it returns it to normal.",What a cute little thing!,1
Bloody Gust,5.100.695,1,"The first 6 times Isaac takes damage on a given floor, he gains Speed and Fire Rate for the rest of the floor, up to a maximum of +1.02 and +3.00, respectively.",May your rage bring haste,2
Boiled Baby,5.100.607,1,Gives Isaac a familiar that fires chaotic bursts of tears in all directions.,Messy friend,1
Bone Spurs,5.100.683,1,"Enemies spawn floating bones on death, which block shots and damage/repel enemies that touch them.",Break your enemies,2
Bot Fly,5.100.629,1,Spawns an orbiting fly familiar that fires shielded tears at incoming enemy projectiles.,Defense drone,3
Candy Heart,5.100.671,1,Gives Isaac a permanent stat boost whenever he heals with   Red Heart pickups.,Power of love,1
Cracked Orb,5.100.675,1,Unlocks doors and reveals a random room on the map when Isaac takes damage.,Shards of knowledge,1
C Section,5.100.678,1,Replaces tears with fetuses that chase down enemies and deal contact damage. Each shot requires a brief charge up.,Fetus shots,4
Cube Baby,5.100.652,1,"Spawns an ice cube familiar that slides around when walked into. It slows and deals contact damage, freezing monsters it kills.",Kick it!,1
Dirty Mind,5.100.576,1,Destroying poop spawns Dip Familiars that follow Isaac and damage enemies. Destroying different types of poop spawns different Dips with special effects.,Filthy friends,1
Empty Heart,5.100.676,1,"If Isaac has one red heart or fewer at the beginning of a floor, he gains an empty red heart container.",It multiplies,1
Eye Sore,5.100.558,1,Causes Isaac to occasionally fire extra tears in random directions while shooting.,More eyes,1
Freezer Baby,5.100.608,1,"Spawns a shooting familiar that has a chance to petrify enemies, and Freezes monsters upon killing them.",Iced iced baby,2
Fruity Plum,5.100.649,1,"Gives Isaac a miniature   Baby Plum familiar that propels itself diagonally around the room, firing tears behind itself as it travels.",Bouncy friend,1
Ghost Bombs,5.100.727,1,+5   Bombs. Bombs become spectral and spawn ghosts that deal contact damage to enemies and explode after 10 seconds.,Spooky blast +5 bombs,2
Giant Cell,5.100.658,1,"Causes Isaac to spawn micro-Isaacs when he takes damage, which chase and shoot at nearby enemies.",Micro friends,1
Hemoptysis,5.100.726,1,"Double-tapping a fire button causes Isaac to sneeze blood, dealing damage to enemies in front of him. Affected enemies are cursed and take more damage from  Brimstone-like attacks.",Double tap sneeze,1
Hypercoagulation,5.100.724,1,"After Isaac takes damage from an enemy or donates health, launches   Red Hearts from Isaac that despawn after 1.5 seconds.",Thick blooded,2
IBS,5.100.725,1,"Causes Isaac to throw poop, create buffing creep, or drop bombs while fighting enemies.",Your stomach rumbles,0
It Hurts,5.100.560,1,Releases a ring of tears and increases fire rate for the current room when Isaac takes damage.,No it doesn't...,1
Keeper's Kin,5.100.717,1,"Rocks and other Obstacles spawn blue spiders over time while in a room with enemies, and spawn two blue spiders when destroyed.",Under a rock,2
Knockout Drops,5.100.637,1,Adds a chance to shoot a fist tear that has extremely high knockback and confuses enemies.,They pack a punch!,3
Lil Dumpy,5.100.615,1,"Spawns a Dumpy familiar that pushes away nearby enemies and projectiles just before Isaac is about to be hit, then falls asleep. He can be awoken by walking to him.",Puffy buddy,3
Lil Portal,5.100.681,1,"A familiar that flies forward, consuming pickups in its path. Each one will increase its size and damage and spawn a Blue Fly. Every four pickups, it opens a portal that leads to an unexplored room.",It hungers,1
Lodestone,5.100.617,1,"Gives Isaac the chance to fire tears that magnetize enemies they hit, causing them to attract nearby pickups and enemies, as well as tears/shots from all sources.",Magnetizing tears,3
Lost Soul,5.100.612,1,"Creates a ghostly familiar that closely follows behind Isaac. It dies in one hit, but respawns at the start of the next floor. Each time it survives until the next floor, it rewards Isaac with   Soul Hearts,   Eternal Hearts, or an Item.",Protect him,2
Montezuma's Revenge,5.100.680,1,"While firing, Isaac charges up a short-ranged Brimstone-like diarrhea beam that shoots behind him.",Oh no...,2
Mucormycosis,5.100.553,1,"Gives Isaac the chance to fire spore tears that stick to enemies and blow up after a few seconds, dealing damage and poisoning nearby enemies and releasing more spores.",Spore shot,3
Nancy Bombs,5.100.563,1,+5   Bombs. Each bomb gains 1-4 random bomb synergies.,Random blast +5 bombs,2
Playdough Cookie,5.100.570,1,Grants multicolored tears. Each color comes with a different status or tear effect.,Tasty rainbow,2
Polydactyly,5.100.454,1,"Allows Isaac to carry two cards, pills, or any combination of both. Spawns one random card, rune, or pill.",Hold me!,2
Psy Fly,5.100.581,1,Spawns a fly orbital familiar that chases and blocks enemy shots.,Flamboyant protector,4
Quints,5.100.661,1,The first five enemies killed in a room will spawn stationary shooting familiars where they died.,They lurk inside,2
Rocket in a Jar,5.100.583,1,"+5   Bombs. If Isaac is currently firing, placing a bomb will instead shoot a fast-moving, explosive rocket in the direction he's facing.",Rocket propulsion +5 bombs,2
Rotten Tomato,5.100.618,1,Adds a chance to fire tears that mark enemies with the Bait status effect. Enemies marked as bait are attacked by other enemies.,Delicious!,2
The Intruder,5.100.575,1,"A familiar burrows in Isaac's head, firing 4 slowing tears. Upon taking damage, there's a chance it will burst out of Isaac's head, spawning blue spiders and chasing enemies for the current room.",Invasive friend,3
The Swarm,5.100.693,1,"Spawns eight orbital flies, which turn into Blue Flies after they block a shot. Each time a room is cleared, spawns another orbital fly.",Infest,2
Tinytoma,5.100.645,1,"Gives Isaac a   Teratoma orbital that blocks shots, deals contact damage, and splits into smaller versions of itself upon taking damage. The smaller versions break into blue spiders.",Itching for revenge,1
Tooth and Nail,5.100.663,1,"Isaac periodically turns into a spiked statue, briefly becoming invulnerable and dealing contact damage.",You feel prickly,2
Vasculitis,5.100.657,1,"Enemies explode into tears upon death, which inherit the effects of Isaac's tears.",Clogged enemies,1
Worm Friend,5.100.682,1,Gives Isaac a   Nerve Ending familiar that burrows out of the ground to grab and deal damage to enemies over time.,Clingy buddy,3
Astral Projection,5.100.677,0.2,"Causes Isaac to turn into a ghost if he gets hit while in an uncleared room, giving him flight and spectral tears and blocking the next hit he takes.",The true out-of-body experience!,2
Skeleton Key,5.100.17,0.1,Gives Isaac 99   Keys.,99 keys,3
